"filename", "language", "C#", "XML", "JSON", "Properties", "comment", "blank", "total"
"d:\LanguageLearnig\Avalonia\ChatClient\.idea\.idea.ChatClient\.idea\avalonia.xml", "XML", 0, 32, 0, 0, 0, 0, 32
"d:\LanguageLearnig\Avalonia\ChatClient\.idea\.idea.ChatClient\.idea\indexLayout.xml", "XML", 0, 8, 0, 0, 0, 0, 8
"d:\LanguageLearnig\Avalonia\ChatClient\.vs\ChatClient\v17\DocumentLayout.json", "JSON", 0, 0, 499, 0, 0, 0, 499
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Avalonia\Behaviors\PasswordBoxBehavior.cs", "C#", 33, 0, 0, 0, 0, 4, 37
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Avalonia\Behaviors\WindowDragBehavior.cs", "C#", 48, 0, 0, 0, 0, 7, 55
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Avalonia\ChatClient.Avalonia.csproj", "XML", 0, 18, 0, 0, 0, 5, 23
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Avalonia\Common\ChatPageBase.cs", "C#", 23, 0, 0, 0, 0, 4, 27
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Avalonia\Common\SukiChatViews.cs", "C#", 60, 0, 0, 0, 0, 17, 77
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Avalonia\Common\ValidateBindableBase.cs", "C#", 35, 0, 0, 0, 4, 13, 52
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Avalonia\Common\ViewLoacator.cs", "C#", 26, 0, 0, 0, 0, 9, 35
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Avalonia\Common\ViewModelBase.cs", "C#", 24, 0, 0, 0, 12, 5, 41
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Avalonia\Converter\EqualityConverter.cs", "C#", 16, 0, 0, 0, 0, 4, 20
