Date : 2025-01-27 23:50:10
Directory : d:\LanguageLearnig\Avalonia\ChatClient
Total : 282 files,  58536 codes, 1613 comments, 1671 blanks, all 61820 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |         55 |     47,770 |          0 |          0 |     47,770 |
| C#         |        166 |      8,253 |      1,612 |      1,547 |     11,412 |
| XML        |         42 |      2,126 |          1 |         79 |      2,206 |
| Properties |         19 |        387 |          0 |         45 |        432 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                 |        282 |     58,536 |      1,613 |      1,671 |     61,820 |
| .idea                                                                                                                                             |          2 |         40 |          0 |          0 |         40 |
| .idea\.idea.ChatClient                                                                                                                            |          2 |         40 |          0 |          0 |         40 |
| .idea\.idea.ChatClient\.idea                                                                                                                      |          2 |         40 |          0 |          0 |         40 |
| .vs                                                                                                                                               |          1 |        499 |          0 |          0 |        499 |
| .vs\ChatClient                                                                                                                                    |          1 |        499 |          0 |          0 |        499 |
| .vs\ChatClient\v17                                                                                                                                |          1 |        499 |          0 |          0 |        499 |
| ChatClient.Avalonia                                                                                                                               |         28 |      6,046 |         38 |        108 |      6,192 |
| ChatClient.Avalonia (Files)                                                                                                                       |          2 |         80 |          0 |         12 |         92 |
| ChatClient.Avalonia\Behaviors                                                                                                                     |          2 |         81 |          0 |         11 |         92 |
| ChatClient.Avalonia\Common                                                                                                                        |          5 |        168 |         16 |         48 |        232 |
| ChatClient.Avalonia\Converter                                                                                                                     |          1 |         16 |          0 |          4 |         20 |
| ChatClient.Avalonia\Validation                                                                                                                    |          3 |         51 |          0 |         17 |         68 |
| ChatClient.Avalonia\bin                                                                                                                           |          2 |      2,333 |          0 |          0 |      2,333 |
| ChatClient.Avalonia\bin\Debug                                                                                                                     |          1 |      1,230 |          0 |          0 |      1,230 |
| ChatClient.Avalonia\bin\Debug\net8.0                                                                                                              |          1 |      1,230 |          0 |          0 |      1,230 |
| ChatClient.Avalonia\bin\Release                                                                                                                   |          1 |      1,103 |          0 |          0 |      1,103 |
| ChatClient.Avalonia\bin\Release\net8.0                                                                                                            |          1 |      1,103 |          0 |          0 |      1,103 |
| ChatClient.Avalonia\obj                                                                                                                           |         13 |      3,317 |         22 |         16 |      3,355 |
| ChatClient.Avalonia\obj (Files)                                                                                                                   |          5 |      3,219 |          0 |          0 |      3,219 |
| ChatClient.Avalonia\obj\Debug                                                                                                                     |          4 |         49 |         11 |          8 |         68 |
| ChatClient.Avalonia\obj\Debug\net8.0                                                                                                              |          4 |         49 |         11 |          8 |         68 |
| ChatClient.Avalonia\obj\Release                                                                                                                   |          4 |         49 |         11 |          8 |         68 |
| ChatClient.Avalonia\obj\Release\net8.0                                                                                                            |          4 |         49 |         11 |          8 |         68 |
| ChatClient.BaseService                                                                                                                            |         27 |      8,132 |         99 |        196 |      8,427 |
| ChatClient.BaseService (Files)                                                                                                                    |          2 |         43 |          4 |         11 |         58 |
| ChatClient.BaseService\Helper                                                                                                                     |          3 |        212 |         31 |         40 |        283 |
| ChatClient.BaseService\Manager                                                                                                                    |          5 |        296 |         16 |         65 |        377 |
| ChatClient.BaseService\Services                                                                                                                   |          5 |        299 |         32 |         61 |        392 |
| ChatClient.BaseService\Tools                                                                                                                      |          1 |         56 |          5 |         11 |         72 |
| ChatClient.BaseService\bin                                                                                                                        |          2 |      1,986 |          0 |          0 |      1,986 |
| ChatClient.BaseService\bin\Debug                                                                                                                  |          2 |      1,986 |          0 |          0 |      1,986 |
| ChatClient.BaseService\bin\Debug\net8.0                                                                                                           |          2 |      1,986 |          0 |          0 |      1,986 |
